clique_size,model_type,strength
15,gene,0.002380924554064804
5,tf,0.00388732600317742
5,non_gene,0.0030997447558614526
5,gene,0.00640167388871606
10,tf,0.0016280926813630819
10,non_gene,0.003920237515426828
10,gene,0.002996188257902322
15,tf,0.0010121912550504922
15,non_gene,0.001976141863347204
15,gene,0.0019139453679923278
5,tf,0.00388732600317742
5,non_gene,0.017848742009900432
5,gene,0.004069864062845561
10,tf,0.0016280926813630819
10,non_gene,0.005470888515488583
10,gene,0.0021474628294678552
15,tf,0.0010121912550504922
15,non_gene,0.002897052206753515
15,gene,0.0015304326830070524
5,tf,0.002593687394834895
5,non_gene,0.002890495286456717
5,gene,0.004823913694354484
10,tf,0.0010307875537607666
10,non_gene,0.001458650813144011
10,gene,0.002158192288451809
15,tf,0.0010880379045593094
15,non_gene,0.0011258275132176648
15,gene,0.0015021290946142579
5,tf,0.0016377315586074519
5,non_gene,0.002782977149986045
5,gene,0.003608617840480017
10,tf,0.001782217828136158
10,non_gene,0.004248196132390438
10,gene,0.002461131625361775
15,tf,0.001313209383266646
15,non_gene,0.002236711399937292
15,gene,0.0017145414178405716
5,tf,0.007318618396137147
5,non_gene,0.0058555223122148704
5,gene,0.0031131047397198403
10,tf,0.004868635690385458
10,non_gene,0.0027656738738827047
10,gene,0.001827414559200095
15,tf,0.0024409086895810766
15,non_gene,0.0014707486157084816
15,gene,0.0010489685463491545
5,tf,0.006432983783858225
5,non_gene,0.00360572434870953
5,gene,0.018484446598322785
10,tf,0.003004148879436947
10,non_gene,0.0012757344170337315
10,gene,0.006211834424319963
15,tf,0.0019180224176917897
15,non_gene,0.000707470461355799
15,gene,0.0030160028824207457
5,tf,0.013736707395766759
5,non_gene,0.001425772434254958
5,gene,0.003997413530460196
10,tf,0.004117569455684192
10,non_gene,0.0005806615734125945
10,gene,0.001722026319060436
15,tf,0.00202392729996351
15,non_gene,0.0005485408872692576
15,gene,0.0022283793045227303
5,tf,0.004084546546799744
5,non_gene,0.001162536967800584
5,gene,0.004730979307367581
10,tf,0.0018948857925041977
10,non_gene,0.0014245881006774248
10,gene,0.0018418769385251496
15,tf,0.0012254398708399924
15,non_gene,0.0020523015202428036
15,gene,0.0010422809724307416
5,tf,0.003039706997417428
5,non_gene,0.004018831420603354
5,gene,0.008771725715098173
10,tf,0.002480642197210861
10,non_gene,0.0017852141377621845
10,gene,0.003945764848854522
15,tf,0.0014323601894452984
15,non_gene,0.001031982335873484
15,gene,0.0020804917469078917
5,tf,0.004084546546799744
5,non_gene,0.0020544835405011987
5,gene,0.0007112904632658234
10,tf,0.0018948857925041977
10,non_gene,0.000888585077975999
10,gene,0.0022049255982821833
15,tf,0.0012254398708399924
15,non_gene,0.0005605685345936166
15,gene,0.0012601583098745621
5,tf,0.0024134343908599853
5,non_gene,0.00400327366487275
5,gene,0.0031569438572375498
10,tf,0.001130046507343099
10,non_gene,0.0017817788961907968
10,gene,0.0023627971378875116
15,tf,0.0009111999607193871
15,non_gene,0.0010301334943952163
15,gene,0.001672143653228812
5,tf,0.00113749098519563
5,non_gene,0.0024830343864231234
5,gene,0.004069444510131472
10,tf,0.0027855342065602547
10,non_gene,0.0020003587359604235
10,gene,0.002195279461748723
15,tf,0.0014998281242454075
15,non_gene,0.0018739818420261364
15,gene,0.0014996541376347432
5,tf,0.0018273988970309283
5,non_gene,0.0012580030658535884
5,gene,0.007542303375422363
10,tf,0.003474614226487009
10,non_gene,0.0011678392517076727
10,gene,0.002184439099487967
15,tf,0.0023857617032802024
15,non_gene,0.0008998110735122261
15,gene,0.0020848043931361083
5,tf,0.007152139355014736
5,non_gene,0.018683335326469867
5,gene,0.003120405582197961
10,tf,0.005146806003588634
10,non_gene,0.010954757319226276
10,gene,0.0025217520184360152
15,tf,0.002766980900469499
15,non_gene,0.005309526763257432
15,gene,0.0018288700512655862
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.001162536967800584
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.0014245881006774248
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.0020523015202428036
